Axial Position x, Normalized Nozzle Radius r
-2.53,2.569047
-2.52,2.569047
-2.51,2.569047
-2.50,2.569047
-2.49,2.569047
-2.48,2.569047
-2.47,2.569047
-2.46,2.569047
-2.45,2.569047
-2.44,2.569047
-2.43,2.569047
-2.42,2.569047
-2.41,2.569047
-2.40,2.569047
-2.39,2.569047
-2.38,2.569047
-2.37,2.569047
-2.36,2.569047
-2.35,2.569047
-2.34,2.569047
-2.33,2.569047
-2.32,2.569047
-2.31,2.569047
-2.30,2.569047
-2.29,2.569047
-2.28,2.569047
-2.27,2.569047
-2.26,2.569047
-2.25,2.569047
-2.24,2.569047
-2.23,2.569047
-2.22,2.569047
-2.21,2.569047
-2.20,2.569047
-2.19,2.569047
-2.18,2.569047
-2.17,2.569047
-2.16,2.569047
-2.15,2.568968
-2.14,2.568691
-2.13,2.568213
-2.12,2.567534
-2.11,2.566654
-2.10,2.565570
-2.09,2.564282
-2.08,2.562789
-2.07,2.561087
-2.06,2.559176
-2.05,2.557052
-2.04,2.554714
-2.03,2.552157
-2.02,2.549378
-2.01,2.546373
-2.00,2.543139
-1.99,2.539670
-1.98,2.535961
-1.97,2.532007
-1.96,2.527800
-1.95,2.523335
-1.94,2.518603
-1.93,2.513595
-1.92,2.508303
-1.91,2.502716
-1.90,2.496822
-1.89,2.490609
-1.88,2.484062
-1.87,2.477164
-1.86,2.469899
-1.85,2.462246
-1.84,2.454181
-1.83,2.445678
-1.82,2.436707
-1.81,2.427232
-1.80,2.417213
-1.79,2.406633
-1.78,2.395909
-1.77,2.385186
-1.76,2.374462
-1.75,2.363738
-1.74,2.353014
-1.73,2.342291
-1.72,2.331567
-1.71,2.320843
-1.70,2.310120
-1.69,2.299396
-1.68,2.288672
-1.67,2.277949
-1.66,2.267225
-1.65,2.256501
-1.64,2.245778
-1.63,2.235054
-1.62,2.224330
-1.61,2.213607
-1.60,2.202883
-1.59,2.192159
-1.58,2.181435
-1.57,2.170712
-1.56,2.159988
-1.55,2.149264
-1.54,2.138541
-1.53,2.127817
-1.52,2.117093
-1.51,2.106370
-1.50,2.095646
-1.49,2.084922
-1.48,2.074199
-1.47,2.063475
-1.46,2.052751
-1.45,2.042028
-1.44,2.031304
-1.43,2.020580
-1.42,2.009856
-1.41,1.999133
-1.40,1.988409
-1.39,1.977685
-1.38,1.966962
-1.37,1.956238
-1.36,1.945514
-1.35,1.934791
-1.34,1.924067
-1.33,1.913343
-1.32,1.902620
-1.31,1.891896
-1.30,1.881172
-1.29,1.870449
-1.28,1.859725
-1.27,1.849001
